time,type,name,authors
June 19: 9:15 a.m. - 17:30 p.m.,day
9.00-10.30,session,Session 1,
,,"Classical Planning in Latent Space: From Unlabeled Images to PDDL (and back)","Masataro Asai and Alex Fukunaga"
,,"Attribute Grammars with Set Attributes and Global Constraints as a Unifying Framework for Planning Domain Models","Roman Barták and Adrien Maillard"
,,"A PDDL Representation for Contradance Composition","Richard Freedman and Shlomo Zilberstein"
10:30,break,Coffee Break,
11.00-12.30,session,Session 2 (am),
,,"StoryFramer: From Input Stories to Output Planning Models","Thomas Hayton, Julie Porteous, Joao Ferreira, Alan Lindsay and Jonathan Read"
,,"Extracting Incomplete Planning Action Models from Unstructured Social Media Data to Support Decision Making","Lydia Manikonda, Shirin Sohrabi, Kartik Talamadupula, Biplav Srivastava and Subbarao Kambhampati"
,,"Planning-based Scenario Generation for Enterprise Risk Management","Shirin Sohrabi, Anton Riabov and Octavian Udrea"
14.30-15.30,session,Session 3 (pm)
,invited,"Invited Talk: The Hitchhiker's Guide to PDDL Modeling","Christian Muise and Nir Lipovetzky"
15:30-4:00,break,Coffee Break,
16.00-17.30,session,Session 4 (pm)
,,"Domain Model Acquisition with Missing Information and Noisy Data","Peter Gregory, Alan Lindsay and Julie Porteous"
,,"Integrating Modeling and Knowledge Representation for Combined Task, Resource and Path Planning in Robotics","Simone Fratini, Tiago Nogueira and Nicola Policella"
,,"Method Composition through Operator Pattern Identification","Maurício Cecílio Magnaguagno and Felipe Meneguzzi"
